Shipment#,IndexDate,Month,Year,Date(Period),CarrierRef,EnglishOrigin,EnglishDestination,Route,GCD,CO2,CO2Metric,Density,CDCTrafficRating,CDCDensityRating,CDCEfficiencyRating,RDCTrafficRating,RDCDensityRating,RDCEfficiencyRating,RouteTrafficRating,RouteDensityRating,RouteEfficiencyRating
83,04-17-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,161.9343489,0.32000846,149.8588799,4,1,2,4,4,5,5,1,3
84,04-17-2013,4,2013,Apr-13,Carrier11,Beijing CDC,Zhengzhou RDC,"Beijing CDC , Zhengzhou RDC",627.4,713.5264075,0.286400914,127.8097139,3,3,5,2,2,5,3,1,4
85,04-17-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Kunming RDC,"Shenzhen CDC , Kunming RDC",1140.7,0.844903956,0.134182792,306.6666667,2,3,4,4,3,3,1,2,4
86,04-17-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Nanning RDC,"Shenzhen CDC , Nanning RDC",565.6,3.861318953,0.126847696,304.0677966,2,3,4,2,2,2,1,2,4
87,04-17-2013,4,2013,Apr-13,Carrier02,Beijing CDC,Hefei RDC,"Beijing CDC , Hefei RDC",921.3,10.59466775,0.066858684,150.6129597,3,3,5,4,3,3,1,2,5
88,04-17-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Wuhan RDC,"Huiyang CDC , Wuhan RDC",841.8,642.3139558,0.311867643,120.9944612,4,1,2,2,2,5,3,1,4
89,04-18-2013,4,2013,Apr-13,Carrier06,Beijing CDC,Nanjing RDC,"Beijing CDC , Nanjing RDC",927.2,27.07305425,0.279360133,132.9770992,3,3,5,2,2,2,2,1,5
90,04-18-2013,4,2013,Apr-13,Carrier08,Chengdu CDC,Nanning RDC,"Chengdu CDC , Nanning RDC",981.1,261.3633194,0.123355365,334.9255583,2,3,3,2,2,2,1,1,4
91,04-18-2013,4,2013,Apr-13,Carrier07,Chengdu CDC,Guiyang RDC,"Chengdu CDC , Guiyang RDC",547.7,956.7627804,0.274474639,155.2034287,2,3,3,4,4,5,2,1,4
92,04-18-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,0.047977771,0.322754011,148.8,4,1,2,4,4,5,5,1,3
93,04-18-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Wuhan RDC,"Huiyang CDC , Wuhan RDC",841.8,18.72384632,0.273587091,138.0305603,4,1,2,2,2,5,3,1,4
